# Temperatura_=_53.37
# Concentracion g/m^3_=_15000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_301975.38952124707

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-6.835773e-06	-1.038722e-08	-4.747091e+01	-6.804369e+02
1.000000e-08	-6.832296e-06	-1.038246e-08	-4.744677e+01	-6.802109e+02
2.000000e-08	-6.826677e-06	-1.037629e-08	-4.740774e+01	-6.798695e+02
3.000000e-08	-6.818939e-06	-1.037003e-08	-4.735401e+01	-6.794041e+02
4.000000e-08	-6.808756e-06	-1.036263e-08	-4.728329e+01	-6.788082e+02
5.000000e-08	-6.796040e-06	-1.035296e-08	-4.719499e+01	-6.780800e+02
6.000000e-08	-6.780910e-06	-1.033980e-08	-4.708992e+01	-6.772256e+02
7.000000e-08	-6.763479e-06	-1.032451e-08	-4.696887e+01	-6.762592e+02
8.000000e-08	-6.743892e-06	-1.032071e-08	-4.683285e+01	-6.752020e+02
9.000000e-08	-6.721905e-06	-1.032096e-08	-4.668016e+01	-6.740789e+02
1.000000e-07	-6.697079e-06	-1.030224e-08	-4.650775e+01	-6.729141e+02
1.100000e-07	-6.669528e-06	-1.026895e-08	-4.631643e+01	-6.717261e+02
1.200000e-07	-6.639706e-06	-1.023437e-08	-4.610933e+01	-6.705236e+02
1.300000e-07	-6.607933e-06	-1.018812e-08	-4.588868e+01	-6.693028e+02
1.400000e-07	-6.574285e-06	-1.016610e-08	-4.565501e+01	-6.680470e+02
1.500000e-07	-6.538639e-06	-1.018389e-08	-4.540747e+01	-6.667294e+02
1.600000e-07	-6.500893e-06	-1.015848e-08	-4.514534e+01	-6.653165e+02
1.700000e-07	-6.461056e-06	-1.013005e-08	-4.486869e+01	-6.637738e+02
1.800000e-07	-6.418909e-06	-1.010842e-08	-4.457600e+01	-6.620709e+02
1.900000e-07	-6.374261e-06	-1.005454e-08	-4.426595e+01	-6.601857e+02
2.000000e-07	-6.327258e-06	-1.001703e-08	-4.393954e+01	-6.581067e+02
2.100000e-07	-6.277732e-06	-9.999680e-09	-4.359560e+01	-6.558335e+02
2.200000e-07	-6.225542e-06	-9.973748e-09	-4.323317e+01	-6.533749e+02
2.300000e-07	-6.170922e-06	-9.922753e-09	-4.285386e+01	-6.507463e+02
2.400000e-07	-6.113930e-06	-9.876539e-09	-4.245808e+01	-6.479653e+02
2.500000e-07	-6.054611e-06	-9.843866e-09	-4.204614e+01	-6.450489e+02
2.600000e-07	-5.993119e-06	-9.792570e-09	-4.161911e+01	-6.420103e+02
2.700000e-07	-5.929471e-06	-9.737574e-09	-4.117711e+01	-6.388580e+02
2.800000e-07	-5.863557e-06	-9.695268e-09	-4.071937e+01	-6.355954e+02
2.900000e-07	-5.795388e-06	-9.641699e-09	-4.024597e+01	-6.322218e+02
3.000000e-07	-5.725109e-06	-9.584417e-09	-3.975792e+01	-6.287334e+02
3.100000e-07	-5.652703e-06	-9.537135e-09	-3.925510e+01	-6.251251e+02
3.200000e-07	-5.578078e-06	-9.485373e-09	-3.873687e+01	-6.213915e+02
3.300000e-07	-5.501139e-06	-9.417497e-09	-3.820257e+01	-6.175271e+02
3.400000e-07	-5.421970e-06	-9.348521e-09	-3.765278e+01	-6.135271e+02
3.500000e-07	-5.340768e-06	-9.292203e-09	-3.708887e+01	-6.093865e+02
3.600000e-07	-5.257742e-06	-9.240052e-09	-3.651230e+01	-6.051006e+02
3.700000e-07	-5.173033e-06	-9.178248e-09	-3.592404e+01	-6.006645e+02
3.800000e-07	-5.086574e-06	-9.105876e-09	-3.532363e+01	-5.960736e+02
3.900000e-07	-4.998362e-06	-9.030845e-09	-3.471104e+01	-5.913236e+02
4.000000e-07	-4.908312e-06	-8.946320e-09	-3.408569e+01	-5.864114e+02
4.100000e-07	-4.816519e-06	-8.863831e-09	-3.344824e+01	-5.813352e+02
4.200000e-07	-4.723143e-06	-8.795646e-09	-3.279979e+01	-5.760943e+02
4.300000e-07	-4.628104e-06	-8.721042e-09	-3.213979e+01	-5.706890e+02
4.400000e-07	-4.531353e-06	-8.632243e-09	-3.146790e+01	-5.651198e+02
4.500000e-07	-4.432863e-06	-8.541243e-09	-3.078394e+01	-5.593867e+02
4.600000e-07	-4.332838e-06	-8.451113e-09	-3.008932e+01	-5.534889e+02
4.700000e-07	-4.231363e-06	-8.356252e-09	-2.938463e+01	-5.474242e+02
4.800000e-07	-4.128399e-06	-8.260950e-09	-2.866960e+01	-5.411897e+02
4.900000e-07	-4.023961e-06	-8.163761e-09	-2.794433e+01	-5.347817e+02
5.000000e-07	-3.917948e-06	-8.060362e-09	-2.720812e+01	-5.281965e+02
5.100000e-07	-3.810427e-06	-7.955029e-09	-2.646145e+01	-5.214312e+02
5.200000e-07	-3.701621e-06	-7.851185e-09	-2.570584e+01	-5.144831e+02
5.300000e-07	-3.591535e-06	-7.743068e-09	-2.494135e+01	-5.073500e+02
5.400000e-07	-3.480181e-06	-7.626967e-09	-2.416806e+01	-5.000288e+02
5.500000e-07	-3.367412e-06	-7.511693e-09	-2.338494e+01	-4.925152e+02
5.600000e-07	-3.253112e-06	-7.397828e-09	-2.259118e+01	-4.848019e+02
